[7, 7, 4, 4, 10, -60, 3, 3, -25, -8]
[4, 4, 3, 7, 3, 3, -4, 10, -289, -120]
[1, 1, 1, 4, -90, -90, -90, 3, -16, 10]
[1, 1, 4, 6, -90, -90, 3, 5, -361, -180]
[1, 4, 6, 1, -90, 3, 5, -90, -361, -180]
[4, 6, 1, 1, 3, 5, -90, -90, -361, -180]
[-10, 12, -164, 4, -56, -64, 6720, 3, -16, 10]
[12, -164, 4, 6, -64, 6720, 3, 5, -324, -112]
[-164, 4, 6, -10, 6720, 3, 5, -56, -400, -128]
[4, 6, -10, 12, 3, 5, -56, -64, -16, 13440]
[12, -10, 45, 4, -45, -75, 450, 3, -16, 10]
[-10, 45, 4, 6, -75, 450, 3, 5, -324, -90]
[45, 4, 6, 12, 450, 3, 5, -45, -400, -150]
[4, 6, 12, -10, 3, 5, -45, -75, -225, 900]
[-7, 25, 81, 4, -44, -84, 770, 3, -16, 10]
[25, 81, 4, 6, -84, 770, 3, 5, -225, -88]
[81, 4, 6, -7, 770, 3, 5, -44, -961, -168]
[4, 6, -7, 25, 3, 5, -44, -84, -3481, 1540]
[1, 1, 1, 4, -42, -210, -210, 3, -16, 10]
[1, 1, 4, 6, -210, -210, 3, 5, -169, -84]
[1, 4, 6, 1, -210, 3, 5, -42, -841, -420]
[4, 6, 1, 1, 3, 5, -42, -210, -841, -420]
[9, -15, 41, 4, -36, -126, 420, 3, -16, 10]
[-15, 41, 4, 6, -126, 420, 3, 5, -225, -72]
[41, 4, 6, 9, 420, 3, 5, -36, -729, -252]
[4, 6, 9, -15, 3, 5, -36, -126, -1, 840]
[-4, 36, -74, 4, -32, -352, 1320, 3, -16, 10]
[36, -74, 4, 6, -352, 1320, 3, 5, -144, -64]
[-74, 4, 6, -4, 1320, 3, 5, -32, -2704, -704]
[4, 6, -4, 36, 3, 5, -32, -352, -196, 2640]
[-6, -27, 36, 4, -27, 162, -405, 3, -16, 10]
[-27, 36, 4, 6, 162, -405, 3, 5, -144, -54]
[36, 4, 6, -6, -405, 3, 5, -27, -81, 324]
[4, 6, -6, -27, 3, 5, -27, 162, -2916, -810]
[5, 25, 101, 4, -24, 114, -2280, 3, -16, 10]
[25, 101, 4, 6, 114, -2280, 3, 5, -121, -48]
[101, 4, 6, 5, -2280, 3, 5, -24, -169, 228]
[4, 6, 5, 25, 3, 5, -24, 114, -19321, -4560]
[8, 15, -20, 4, -20, 50, -300, 3, -16, 10]
[15, -20, 4, 6, 50, -300, 3, 5, -144, -40]
[-20, 4, 6, 8, -300, 3, 5, -20, -25, 100]
[4, 6, 8, 15, 3, 5, -20, 50, -1600, -600]
[-9, -24, 4, 6, 18, -180, 3, 5, -64, -24]
[-24, 4, 6, -4, -180, 3, 5, -12, -9, 36]
[4, 6, -4, -9, 3, 5, -12, 18, -1296, -360]
[-13, -20, 4, 8, -14, 84, 3, 7, -16, 24]
[-20, 4, 8, -8, 84, 3, 7, 12, -225, -28]
[4, 8, -8, -13, 3, 7, 12, -14, -64, 168]
[8, 4, 8, 8, -105, 3, 7, 15, -289, -60]
[4, 8, 8, 13, 3, 7, 15, -30, -484, -210]
[23, -97, 4, 8, 120, -840, 3, 7, -49, 120]
[-97, 4, 8, -17, -840, 3, 7, 60, -49, 240]
[4, 8, -17, 23, 3, 7, 60, 120, -12769, -1680]
[7, 13, 13, 4, 12, -48, -48, 3, -49, 16]
[13, 13, 4, 9, -48, -48, 3, 8, -1, 24]
[13, 4, 9, 7, -48, 3, 8, 12, -361, -96]
[4, 9, 7, 13, 3, 8, 12, -48, -361, -96]
[13, 22, -47, 4, 12, -23, 552, 3, -49, 16]
[22, -47, 4, 9, -23, 552, 3, 8, -121, 24]
[-14, -23, 25, 4, 13, -24, 156, 3, -49, 16]
[25, 4, 9, -14, 156, 3, 8, 13, -625, -48]
[8, 0, 16, 4, 16, -64, -192, 3, -4, 16]
[16, 4, 6, 8, -192, 3, 8, 16, -256, -128]
[4, 6, 8, 0, 3, 8, 16, -64, -1024, -384]
[12, 16, 32, 4, 20, -192, -320, 3, -4, 16]
[16, 32, 4, 6, -192, -320, 3, 8, -64, 40]
[32, 4, 6, 12, -320, 3, 8, 20, -1024, -384]
[4, 6, 12, 16, 3, 8, 20, -192, -2304, -640]
[10, 16, -32, 4, 21, -192, -1344, 3, -4, 16]
[16, -32, 4, 6, -192, -1344, 3, 8, -16, 42]
[-32, 4, 6, 10, -1344, 3, 8, 21, -1024, -384]
[4, 6, 10, 16, 3, 8, 21, -192, -6400, -2688]
[11, 18, 25, 4, 28, 56, -84, 3, -4, 16]
[18, 25, 4, 6, 56, -84, 3, 8, -9, 56]
[25, 4, 6, 11, -84, 3, 8, 28, -100, 112]
[4, 6, 11, 18, 3, 8, 28, 56, -961, -168]
[11, 16, 26, 4, 30, 60, -120, 3, -4, 16]
[16, 26, 4, 6, 60, -120, 3, 8, -1, 60]
[4, 6, 11, 16, 3, 8, 30, 60, -1156, -240]
[-23, 17, 4, -10, -24, 72, 3, 9, -121, 24]
[17, 4, -10, 13, 72, 3, 9, 12, -625, -48]
[-12, 22, 172, 4, 32, 40, -1440, 3, -64, 18]
[22, 172, 4, 10, 40, -1440, 3, 9, -16, 64]
[172, 4, 10, -12, -1440, 3, 9, 32, -324, 80]
[4, 10, -12, 22, 3, 9, 32, 40, -35344, -2880]
[-3, 4, 7, 7, -130, 3, 10, 10, -256, -78]
[4, 7, 7, 10, 3, 10, 10, -39, -529, -260]
[12, -5, 4, 7, -85, -204, 3, 10, -1, 24]
[-5, 4, 7, 7, -204, 3, 10, 12, -484, -170]
[4, 7, 7, 12, 3, 10, 12, -85, -841, -408]
[4, 8, 8, 8, 3, 15, 15, 15, -289, -60]
[6, 11, 18, -39, 5, 10, -19, 380, -9, 8]
[18, -39, 5, 6, -19, 380, 4, 5, -81, 20]
[6, -12, -19, 21, 5, 11, -20, 110, -9, 8]
[21, 5, 6, -12, 110, 4, 5, 11, -441, -40]
[11, 11, 4, 6, -60, -60, 4, 5, -16, 24]
[11, 4, 6, 8, -60, 4, 5, 12, -361, -120]
[4, 6, 8, 11, 4, 5, 12, -60, -361, -120]
[5, 5, 5, 5, -24, 4, 6, 6, -121, -48]
[5, 5, 5, 5, 4, 6, 6, -24, -121, -48]
[5, 5, 5, 5, -84, 4, 6, 6, -81, -28]
[5, 5, 5, 5, 4, 6, 6, -14, -361, -168]
[-5, -9, 16, 4, 6, -10, 60, 4, -25, 12]
[-9, 16, 4, -5, -10, 60, 4, 6, -25, 12]
[16, 4, 7, -5, 60, 4, 6, 6, -121, -20]
[16, 4, -5, 7, 60, 4, 6, 6, -121, -20]
[4, 7, -5, -9, 4, 6, 6, -10, -16, 120]
[4, -5, 7, -9, 4, 6, 6, -10, -16, 120]
[2, 4, 5, 6, -48, 4, 6, 8, -196, -96]
[4, 5, 6, 2, 4, 6, 8, -48, -196, -96]
[-19, 11, 5, -7, -20, 30, 4, 6, -81, 20]
[11, 5, -7, 11, 30, 4, 6, 10, -441, -40]
[-8, 10, -18, 4, 15, 24, -40, 4, -25, 12]
[14, 18, 4, 5, 24, -40, 4, 6, -4, 30]
[10, -18, 4, 7, 24, -40, 4, 6, -4, 30]
[18, 4, 5, 8, -40, 4, 6, 15, -100, 48]
[-18, 4, 7, -8, -40, 4, 6, 15, -4, 48]
[4, 5, 8, 14, 4, 6, 15, 24, -484, -80]
[4, 7, -8, 10, 4, 6, 15, 24, -484, -80]
[20, 4, 5, 8, -96, 4, 6, 16, -16, 64]
[4, 5, 8, 12, 4, 6, 16, 32, -784, -192]
[-11, 101, 5, 5, 28, -420, 4, 6, -361, 40]
[5, 5, 21, -11, 4, 6, 20, 28, -11881, -840]
[13, 7, -23, -5, 12, 12, -24, 4, -49, 16]
[7, 13, -23, -5, 12, 12, -24, 4, -49, 16]
[7, -23, -5, 9, 12, -24, 4, 8, -121, 24]
[-23, -5, 9, 7, -24, 4, 8, 12, -121, 24]
[4, 6, 7, 7, 4, 8, 12, 12, -196, -48]
[-5, 9, 13, 7, 4, 8, 12, 12, -625, -48]
[-5, 9, 7, 13, 4, 8, 12, 12, -625, -48]
